,timewindow_actor,timewindow_director,timewindow_genre,star_actor_num,star_director_num,params,score
0,3,3,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4270753672015821
1,3,3,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4239744956152565
2,3,3,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4276297175943298
3,3,3,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4237921590318112
4,3,3,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4174402415272447
5,3,3,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4274110700275746
6,3,3,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4306448560543255
7,3,3,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4229241473653556
8,3,3,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4301434904262913
9,3,3,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4271163529600996
10,3,3,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4231993902219986
11,3,3,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4261155238494425
12,3,3,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4299756512286383
13,3,3,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423867707993003
14,3,3,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4290923126756705
15,3,3,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423892869584021
16,3,3,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.416812009648227
17,3,3,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4253138765542728
18,3,3,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4279387359595428
19,3,3,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.420931233807126
20,3,3,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4277848745544333
21,3,3,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4228627295645229
22,3,3,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4220536799223136
23,3,3,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4290443473582877
24,3,3,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4242239577432303
25,3,3,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4216439907802139
26,3,3,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423797895049127
27,3,5,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4250609185520093
28,3,5,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4213693886454597
29,3,5,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4239641034495951
30,3,5,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.420858957235584
31,3,5,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4197589775189083
32,3,5,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4223964978604295
33,3,5,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4190255345433924
34,3,5,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.418401862045061
35,3,5,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423242305850027
36,3,5,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4158607736384323
37,3,5,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4184091582091374
38,3,5,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4196229491639945
39,3,5,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4157203004050216
40,3,5,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4182330817116866
41,3,5,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4191388777405611
42,3,5,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4147835628080112
43,3,5,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.417345883633646
44,3,5,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.415815209117116
45,3,5,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.41701705304408
46,3,5,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4193858424869041
47,3,5,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4156712689320048
48,3,5,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.415926457173147
49,3,5,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4206149186395443
50,3,5,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4170232750182297
51,3,5,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4138501304319915
52,3,5,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.41828516898016
53,3,5,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4129267529033467
54,3,10,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207286233655667
55,3,10,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4172013976420985
56,3,10,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4197195626015422
57,3,10,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4178285969867617
58,3,10,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4183630728908938
59,3,10,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4131811229255216
60,3,10,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4153708530854923
61,3,10,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4183830942041904
62,3,10,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4150001297777284
63,3,10,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423551246602974
64,3,10,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4246688464235477
65,3,10,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4242148955092215
66,3,10,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4208295278317113
67,3,10,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4235429814453249
68,3,10,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4251083668775475
69,3,10,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.420261646328019
70,3,10,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4197409590440644
71,3,10,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.421124667277548
72,3,10,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4209434344571559
73,3,10,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.416950310327525
74,3,10,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.42519476257652
75,3,10,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4241592597066686
76,3,10,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4218304103918509
77,3,10,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4287842100396926
78,3,10,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4211902517902097
79,3,10,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4165142258730912
80,3,10,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.420652935374687
81,5,3,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4277611213140147
82,5,3,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.427758048441501
83,5,3,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4276857713425
84,5,3,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4276452324431912
85,5,3,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4276098917362667
86,5,3,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.429872467924373
87,5,3,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.424404903996884
88,5,3,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4245110991072027
89,5,3,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.430133280934324
90,5,3,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4244660417374646
91,5,3,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4209143853596646
92,5,3,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4240629244192164
93,5,3,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4319092133026847
94,5,3,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4281288808551444
95,5,3,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4258945665123774
96,5,3,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4298730585643162
97,5,3,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.428202983315397
98,5,3,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4316668769763294
99,5,3,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4239838358937928
100,5,3,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4263250415559035
101,5,3,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4297272045934168
102,5,3,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4283085759884744
103,5,3,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4277519989466048
104,5,3,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.430494955777116
105,5,3,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4278109163573192
106,5,3,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4303408146055683
107,5,3,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.433766125330493
108,5,5,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4234401412765672
109,5,5,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4210088801017258
110,5,5,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4175358846700827
111,5,5,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4241858267711134
112,5,5,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4206617218575084
113,5,5,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4195418682742844
114,5,5,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4213183306888282
115,5,5,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4206122880106644
116,5,5,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4188901207262508
117,5,5,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.424470200746893
118,5,5,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4265976605119752
119,5,5,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.417396207033574
120,5,5,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4278921229716472
121,5,5,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.426307704095949
122,5,5,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4149597854069325
123,5,5,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4254793533680616
124,5,5,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4260971276238643
125,5,5,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4179852007836773
126,5,5,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4150761568312942
127,5,5,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4170315328520044
128,5,5,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4173508238809183
129,5,5,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4173645208650425
130,5,5,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207906915209867
131,5,5,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4155977864227276
132,5,5,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.421092721919508
133,5,5,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4211170874910974
134,5,5,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4210786795867125
135,5,10,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.419372914593822
136,5,10,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4216608720941906
137,5,10,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4244050835918556
138,5,10,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4219958746024246
139,5,10,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4224469152071464
140,5,10,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4189394202183288
141,5,10,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4158613070015071
142,5,10,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4182588718967764
143,5,10,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4183074480244022
144,5,10,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207523555158734
145,5,10,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4209501274655356
146,5,10,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.424735636199189
147,5,10,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4249259595386061
148,5,10,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4199122140722469
149,5,10,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4245275893622351
