,timewindow_actor,timewindow_director,timewindow_genre,star_actor_num,star_director_num,params,score
0,3,3,3,3,3,{'max_depth': 6},-1.4400708750172198
1,3,3,3,3,5,{'max_depth': 6},-1.4303305635995365
2,3,3,3,3,10,{'max_depth': 10},-1.4252207399392511
3,3,3,3,5,3,{'max_depth': 10},-1.435378835396822
4,3,3,3,5,5,{'max_depth': 6},-1.4202013632925403
5,3,3,3,5,10,{'max_depth': 14},-1.4387541924189002
6,3,3,3,10,3,{'max_depth': 6},-1.4269342356983412
7,3,3,3,10,5,{'max_depth': 6},-1.43787231433211
8,3,3,3,10,10,{'max_depth': 6},-1.4377205810343694
9,3,3,5,3,3,{'max_depth': 14},-1.4576191019538711
10,3,3,5,3,5,{'max_depth': 6},-1.4108848838592543
11,3,3,5,3,10,{'max_depth': 6},-1.42513806102769
12,3,3,5,5,3,{'max_depth': 6},-1.4415240664143447
13,3,3,5,5,5,{'max_depth': 14},-1.4398933055203647
14,3,3,5,5,10,{'max_depth': 6},-1.4337595114676585
15,3,3,5,10,3,{'max_depth': 6},-1.4303982057833131
16,3,3,5,10,5,{'max_depth': 6},-1.409888616958659
17,3,3,5,10,10,{'max_depth': 14},-1.4409215080712312
18,3,3,10,3,3,{'max_depth': 6},-1.4231670097593203
19,3,3,10,3,5,{'max_depth': 6},-1.4505317584140058
20,3,3,10,3,10,{'max_depth': 6},-1.4270319787214958
21,3,3,10,5,3,{'max_depth': 6},-1.445718181944178
22,3,3,10,5,5,{'max_depth': 6},-1.405435718802279
23,3,3,10,5,10,{'max_depth': 6},-1.4529401583602477
24,3,3,10,10,3,{'max_depth': 6},-1.4631195704546491
25,3,3,10,10,5,{'max_depth': 6},-1.4555392733861188
26,3,3,10,10,10,{'max_depth': 6},-1.4131158790128893
27,3,5,3,3,3,{'max_depth': 6},-1.419975827127438
28,3,5,3,3,5,{'max_depth': 6},-1.4233317115897566
29,3,5,3,3,10,{'max_depth': 6},-1.4172689556885736
30,3,5,3,5,3,{'max_depth': 6},-1.407646409301235
31,3,5,3,5,5,{'max_depth': 6},-1.4006336769798862
32,3,5,3,5,10,{'max_depth': 6},-1.4391220882255884
33,3,5,3,10,3,{'max_depth': 6},-1.437950754900847
34,3,5,3,10,5,{'max_depth': 6},-1.4211016030264692
35,3,5,3,10,10,{'max_depth': 6},-1.4036449780615203
36,3,5,5,3,3,{'max_depth': 6},-1.407946198851569
37,3,5,5,3,5,{'max_depth': 10},-1.4356136633996153
38,3,5,5,3,10,{'max_depth': 6},-1.3946020936437435
39,3,5,5,5,3,{'max_depth': 6},-1.3981814734629894
40,3,5,5,5,5,{'max_depth': 6},-1.414722700422574
41,3,5,5,5,10,{'max_depth': 6},-1.4088895749553916
42,3,5,5,10,3,{'max_depth': 6},-1.4236451767990526
43,3,5,5,10,5,{'max_depth': 6},-1.3786268842158063
44,3,5,5,10,10,{'max_depth': 14},-1.4411867135785719
45,3,5,10,3,3,{'max_depth': 6},-1.419681819849202
46,3,5,10,3,5,{'max_depth': 6},-1.43087548657366
47,3,5,10,3,10,{'max_depth': 6},-1.4276680938289132
48,3,5,10,5,3,{'max_depth': 6},-1.4560119304606185
49,3,5,10,5,5,{'max_depth': 6},-1.4372271796567682
50,3,5,10,5,10,{'max_depth': 6},-1.4303473873423314
51,3,5,10,10,3,{'max_depth': 6},-1.4065287681393683
52,3,5,10,10,5,{'max_depth': 6},-1.4212254549864654
53,3,5,10,10,10,{'max_depth': 6},-1.4267167008314912
54,3,10,3,3,3,{'max_depth': 6},-1.3762208624765497
55,3,10,3,3,5,{'max_depth': 6},-1.4155041105874875
56,3,10,3,3,10,{'max_depth': 6},-1.3888946821563417
57,3,10,3,5,3,{'max_depth': 6},-1.423384293780709
58,3,10,3,5,5,{'max_depth': 6},-1.4226479278477495
59,3,10,3,5,10,{'max_depth': 6},-1.4205393760739242
60,3,10,3,10,3,{'max_depth': 6},-1.4167936230402713
61,3,10,3,10,5,{'max_depth': 6},-1.4047984052962246
62,3,10,3,10,10,{'max_depth': 6},-1.4118624682091163
63,3,10,5,3,3,{'max_depth': 6},-1.4271438200819506
64,3,10,5,3,5,{'max_depth': 6},-1.4179374076933713
65,3,10,5,3,10,{'max_depth': 6},-1.429677454125611
66,3,10,5,5,3,{'max_depth': 10},-1.4445279618400537
67,3,10,5,5,5,{'max_depth': 6},-1.4391368793065094
68,3,10,5,5,10,{'max_depth': 6},-1.4110240006698815
69,3,10,5,10,3,{'max_depth': 6},-1.4319270253738146
70,3,10,5,10,5,{'max_depth': 6},-1.4362418043634013
71,3,10,5,10,10,{'max_depth': 10},-1.43433829437673
72,3,10,10,3,3,{'max_depth': 10},-1.4402570602102889
73,3,10,10,3,5,{'max_depth': 6},-1.4009419657699536
74,3,10,10,3,10,{'max_depth': 6},-1.4181353736569697
75,3,10,10,5,3,{'max_depth': 10},-1.4328366139743771
76,3,10,10,5,5,{'max_depth': 6},-1.4199718747931664
77,3,10,10,5,10,{'max_depth': 6},-1.438386029240172
78,3,10,10,10,3,{'max_depth': 6},-1.4216225300158458
79,3,10,10,10,5,{'max_depth': 6},-1.4278687633702274
80,3,10,10,10,10,{'max_depth': 6},-1.4219981253700262
81,5,3,3,3,3,{'max_depth': 6},-1.4257250283894727
82,5,3,3,3,5,{'max_depth': 6},-1.409493842784367
83,5,3,3,3,10,{'max_depth': 6},-1.4338406067218052
84,5,3,3,5,3,{'max_depth': 6},-1.4213992682981753
85,5,3,3,5,5,{'max_depth': 6},-1.4188089344782775
86,5,3,3,5,10,{'max_depth': 6},-1.406037261385101
87,5,3,3,10,3,{'max_depth': 6},-1.4133525561737725
88,5,3,3,10,5,{'max_depth': 6},-1.404274995175388
89,5,3,3,10,10,{'max_depth': 6},-1.401513393501245
90,5,3,5,3,3,{'max_depth': 6},-1.434063601270187
91,5,3,5,3,5,{'max_depth': 6},-1.4329647269762797
92,5,3,5,3,10,{'max_depth': 6},-1.4499557540431762
93,5,3,5,5,3,{'max_depth': 6},-1.4107931671131042
94,5,3,5,5,5,{'max_depth': 6},-1.3956868123892676
95,5,3,5,5,10,{'max_depth': 6},-1.404034411361772
96,5,3,5,10,3,{'max_depth': 6},-1.3941599642882205
97,5,3,5,10,5,{'max_depth': 6},-1.400737599255451
98,5,3,5,10,10,{'max_depth': 6},-1.4225371931496988
99,5,3,10,3,3,{'max_depth': 6},-1.4135543702502806
100,5,3,10,3,5,{'max_depth': 6},-1.440352280956255
101,5,3,10,3,10,{'max_depth': 6},-1.421492861475447
102,5,3,10,5,3,{'max_depth': 6},-1.4020334985751859
103,5,3,10,5,5,{'max_depth': 6},-1.4590865604841194
104,5,3,10,5,10,{'max_depth': 6},-1.4135002416932125
105,5,3,10,10,3,{'max_depth': 6},-1.4298202274324454
106,5,3,10,10,5,{'max_depth': 6},-1.4144327711970617
107,5,3,10,10,10,{'max_depth': 6},-1.3961533538357072
108,5,5,3,3,3,{'max_depth': 6},-1.448266389155831
109,5,5,3,3,5,{'max_depth': 6},-1.4410314764833339
110,5,5,3,3,10,{'max_depth': 6},-1.454023119797537
111,5,5,3,5,3,{'max_depth': 6},-1.4511527758750387
112,5,5,3,5,5,{'max_depth': 6},-1.431456868207146
113,5,5,3,5,10,{'max_depth': 6},-1.4402795770396901
114,5,5,3,10,3,{'max_depth': 6},-1.4430972707379106
115,5,5,3,10,5,{'max_depth': 6},-1.4147063576285135
116,5,5,3,10,10,{'max_depth': 14},-1.4650859492449375
117,5,5,5,3,3,{'max_depth': 6},-1.413155647661368
118,5,5,5,3,5,{'max_depth': 6},-1.4258378027356415
119,5,5,5,3,10,{'max_depth': 6},-1.438545787181992
120,5,5,5,5,3,{'max_depth': 6},-1.417469557623869
121,5,5,5,5,5,{'max_depth': 6},-1.39918919870284
122,5,5,5,5,10,{'max_depth': 6},-1.4381757284350845
123,5,5,5,10,3,{'max_depth': 6},-1.4127840117932633
124,5,5,5,10,5,{'max_depth': 6},-1.416679861882799
125,5,5,5,10,10,{'max_depth': 10},-1.4370057187914045
126,5,5,10,3,3,{'max_depth': 6},-1.4189327630621738
127,5,5,10,3,5,{'max_depth': 14},-1.4449498118871402
128,5,5,10,3,10,{'max_depth': 14},-1.4557140518452294
129,5,5,10,5,3,{'max_depth': 6},-1.4263898114392954
130,5,5,10,5,5,{'max_depth': 6},-1.4436820633452205
131,5,5,10,5,10,{'max_depth': 14},-1.4277350411503935
132,5,5,10,10,3,{'max_depth': 6},-1.4194438635820792
133,5,5,10,10,5,{'max_depth': 6},-1.4285249862322396
134,5,5,10,10,10,{'max_depth': 14},-1.4590436285784232
135,5,10,3,3,3,{'max_depth': 14},-1.463752565857667
136,5,10,3,3,5,{'max_depth': 6},-1.41101539056277
137,5,10,3,3,10,{'max_depth': 6},-1.4582226877058555
138,5,10,3,5,3,{'max_depth': 6},-1.4148182403319365
139,5,10,3,5,5,{'max_depth': 6},-1.395084178801676
140,5,10,3,5,10,{'max_depth': 6},-1.427653623742435
141,5,10,3,10,3,{'max_depth': 6},-1.4163405468275845
142,5,10,3,10,5,{'max_depth': 6},-1.4360386719183058
143,5,10,3,10,10,{'max_depth': 6},-1.449091685286119
144,5,10,5,3,3,{'max_depth': 6},-1.4545082324804735
145,5,10,5,3,5,{'max_depth': 6},-1.4025935564321463
146,5,10,5,3,10,{'max_depth': 6},-1.4052253320420958
147,5,10,5,5,3,{'max_depth': 6},-1.39016921332388
148,5,10,5,5,5,{'max_depth': 6},-1.4032530228315934
149,5,10,5,5,10,{'max_depth': 6},-1.4151478424495818
150,5,10,5,10,3,{'max_depth': 6},-1.4001928870152862
151,5,10,5,10,5,{'max_depth': 6},-1.4160076602783473
152,5,10,5,10,10,{'max_depth': 6},-1.4391832264477462
153,5,10,10,3,3,{'max_depth': 6},-1.429703587472876
154,5,10,10,3,5,{'max_depth': 6},-1.4139210643056117
155,5,10,10,3,10,{'max_depth': 6},-1.4122218047707966
156,5,10,10,5,3,{'max_depth': 6},-1.4055747171971857
157,5,10,10,5,5,{'max_depth': 6},-1.4240054540486016
158,5,10,10,5,10,{'max_depth': 6},-1.4208166999804277
159,5,10,10,10,3,{'max_depth': 6},-1.4206370859193798
160,5,10,10,10,5,{'max_depth': 6},-1.4111367616748205
161,5,10,10,10,10,{'max_depth': 6},-1.386892054094063
162,10,3,3,3,3,{'max_depth': 6},-1.4208452348477727
163,10,3,3,3,5,{'max_depth': 14},-1.4505866904029292
164,10,3,3,3,10,{'max_depth': 6},-1.3983566784185033
165,10,3,3,5,3,{'max_depth': 6},-1.3965164825227743
166,10,3,3,5,5,{'max_depth': 6},-1.425616091164799
167,10,3,3,5,10,{'max_depth': 6},-1.4116704568044258
168,10,3,3,10,3,{'max_depth': 6},-1.4559948759765342
169,10,3,3,10,5,{'max_depth': 6},-1.4189532110577143
170,10,3,3,10,10,{'max_depth': 6},-1.4369526383655682
171,10,3,5,3,3,{'max_depth': 6},-1.4368195518194593
172,10,3,5,3,5,{'max_depth': 6},-1.4252103358477712
173,10,3,5,3,10,{'max_depth': 6},-1.4256922011177426
174,10,3,5,5,3,{'max_depth': 6},-1.4422597682887974
175,10,3,5,5,5,{'max_depth': 6},-1.4215998961443297
176,10,3,5,5,10,{'max_depth': 6},-1.447583357452958
177,10,3,5,10,3,{'max_depth': 6},-1.41604900672893
178,10,3,5,10,5,{'max_depth': 6},-1.4371622177182493
179,10,3,5,10,10,{'max_depth': 6},-1.429867844335147
180,10,3,10,3,3,{'max_depth': 6},-1.4147777701092228
181,10,3,10,3,5,{'max_depth': 6},-1.4584413644396745
182,10,3,10,3,10,{'max_depth': 14},-1.4733859980034627
183,10,3,10,5,3,{'max_depth': 6},-1.3937449321755195
184,10,3,10,5,5,{'max_depth': 14},-1.455823566737809
185,10,3,10,5,10,{'max_depth': 6},-1.4292688192347505
186,10,3,10,10,3,{'max_depth': 6},-1.4264375321016474
187,10,3,10,10,5,{'max_depth': 6},-1.443858980981838
188,10,3,10,10,10,{'max_depth': 6},-1.4324347102870116
189,10,5,3,3,3,{'max_depth': 6},-1.430089105752898
190,10,5,3,3,5,{'max_depth': 6},-1.4112448308205319
191,10,5,3,3,10,{'max_depth': 6},-1.3906025776818711
192,10,5,3,5,3,{'max_depth': 6},-1.4047685245173909
193,10,5,3,5,5,{'max_depth': 6},-1.420200421263599
194,10,5,3,5,10,{'max_depth': 6},-1.4278283449403026
195,10,5,3,10,3,{'max_depth': 6},-1.4270323960212725
196,10,5,3,10,5,{'max_depth': 6},-1.4338311546397784
197,10,5,3,10,10,{'max_depth': 6},-1.427300039447101
198,10,5,5,3,3,{'max_depth': 14},-1.4396039212826415
199,10,5,5,3,5,{'max_depth': 14},-1.4403725956745432
200,10,5,5,3,10,{'max_depth': 6},-1.4241232973705753
201,10,5,5,5,3,{'max_depth': 14},-1.4418909067033618
202,10,5,5,5,5,{'max_depth': 6},-1.426151690652404
203,10,5,5,5,10,{'max_depth': 6},-1.4477191291231573
204,10,5,5,10,3,{'max_depth': 6},-1.4178691706622906
205,10,5,5,10,5,{'max_depth': 6},-1.4373386370843988
206,10,5,5,10,10,{'max_depth': 6},-1.4367430631475142
207,10,5,10,3,3,{'max_depth': 6},-1.426100384980444
208,10,5,10,3,5,{'max_depth': 6},-1.4363976129764313
209,10,5,10,3,10,{'max_depth': 6},-1.4042218082098477
210,10,5,10,5,3,{'max_depth': 6},-1.4482107679570821
211,10,5,10,5,5,{'max_depth': 6},-1.430393473189865
212,10,5,10,5,10,{'max_depth': 6},-1.4614366341027254
213,10,5,10,10,3,{'max_depth': 6},-1.3992461542248575
214,10,5,10,10,5,{'max_depth': 6},-1.422953712439306
215,10,5,10,10,10,{'max_depth': 6},-1.4134599351538748
216,10,10,3,3,3,{'max_depth': 6},-1.437467867033679
217,10,10,3,3,5,{'max_depth': 6},-1.403245948418231
218,10,10,3,3,10,{'max_depth': 6},-1.4291947666377152
219,10,10,3,5,3,{'max_depth': 6},-1.421208488937045
220,10,10,3,5,5,{'max_depth': 6},-1.4398144715798453
221,10,10,3,5,10,{'max_depth': 6},-1.4568334063849937
222,10,10,3,10,3,{'max_depth': 6},-1.393166192537201
223,10,10,3,10,5,{'max_depth': 6},-1.4220085219004228
224,10,10,3,10,10,{'max_depth': 6},-1.436929680877949
225,10,10,5,3,3,{'max_depth': 6},-1.3986024204441245
226,10,10,5,3,5,{'max_depth': 6},-1.4282038509050303
227,10,10,5,3,10,{'max_depth': 6},-1.4104937504024533
228,10,10,5,5,3,{'max_depth': 6},-1.408510621826491
229,10,10,5,5,5,{'max_depth': 6},-1.4304892292607188
230,10,10,5,5,10,{'max_depth': 6},-1.4275010020188834
231,10,10,5,10,3,{'max_depth': 6},-1.4029861344080419
232,10,10,5,10,5,{'max_depth': 6},-1.410399914836955
233,10,10,5,10,10,{'max_depth': 6},-1.436732368518265
234,10,10,10,3,3,{'max_depth': 6},-1.4233807747424836
235,10,10,10,3,5,{'max_depth': 6},-1.4176864674238558
236,10,10,10,3,10,{'max_depth': 6},-1.422394278037221
237,10,10,10,5,3,{'max_depth': 6},-1.4455507812954767
238,10,10,10,5,5,{'max_depth': 6},-1.4003441849642502
239,10,10,10,5,10,{'max_depth': 6},-1.427651875446192
240,10,10,10,10,3,{'max_depth': 6},-1.4421431230810824
241,10,10,10,10,5,{'max_depth': 6},-1.4306408798240118
242,10,10,10,10,10,{'max_depth': 6},-1.4020334681318776
