number,moviename,Budget,Domestic,Worldwide
1,Avatar: The Way of Water,"460,000,000","682,862,582","2,314,897,888"
2,Avengers: Endgame,"400,000,000","858,373,000","2,794,731,755"
3,Pirates of the Caribbean: On Stranger Tides,"379,000,000","241,071,802","1,045,713,802"
4,Avengers: Age of Ultron,"365,000,000","459,005,868","1,395,316,979"
5,Fast X,"340,000,000",0,0
6,Star Wars Ep. VII: The Force Awakens,"306,000,000","936,662,225","2,064,615,817"
7,Avengers: Infinity War,"300,000,000","678,815,482","2,048,359,754"
8,Pirates of the Caribbean: At World’s End,"300,000,000","309,420,425","960,996,492"
9,Justice League,"300,000,000","229,024,295","655,945,209"
10,Spectre,"300,000,000","200,074,175","879,077,344"
11,Mission: Impossible Dead Reckoning Part One,"290,000,000",0,0
12,Star Wars: The Rise of Skywalker,"275,000,000","515,202,542","1,072,767,997"
13,Solo: A Star Wars Story,"275,000,000","213,767,512","393,151,347"
14,John Carter,"263,700,000","73,058,679","282,778,100"
15,Batman v Superman: Dawn of Justice,"263,000,000","330,360,194","872,395,091"
16,Star Wars Ep. VIII: The Last Jedi,"262,000,000","620,181,382","1,331,635,141"
17,The Lion King,"260,000,000","543,638,043","1,647,733,638"
18,Tangled,"260,000,000","200,821,936","583,777,242"
19,Spider-Man 3,"258,000,000","336,530,303","894,860,230"
20,Black Panther: Wakanda Forever,"250,000,000","453,829,060","854,041,058"
21,Captain America: Civil War,"250,000,000","408,084,349","1,151,899,586"
22,Thor: Love and Thunder,"250,000,000","343,256,830","760,928,081"
23,Harry Potter and the Half-Blood Prince,"250,000,000","302,089,278","929,411,069"
24,The Hobbit: The Desolation of Smaug,"250,000,000","258,241,522","959,358,436"
25,The Hobbit: The Battle of the Five Armies,"250,000,000","255,119,788","940,323,039"
26,The Fate of the Furious,"250,000,000","225,764,765","1,236,703,796"
27,No Time to Die,"250,000,000","160,891,007","759,959,662"
28,Avatar,"237,000,000","785,221,649","2,923,706,026"
29,Superman Returns,"232,000,000","200,120,000","391,081,192"
