,link,genre,company,country,language,keywords
0,Teachers-Pet-The-Movie#tab=summary,['Adventure'],[],English,['English'],[]
1,Straight-Story-The#tab=summary,['Drama'],[], ,[],['Road Trip']
2,Deuces-Wild#tab=summary,"['Drama', 'Drama']",[], ,[],[]
3,Run-Fatboy-Run#tab=summary,"['Comedy', 'Comedy']","['Picturehouse', 'Entertainment Films', 'Material Entertainment', 'Picturehouse', 'Entertainment Films', 'Material Entertainment']",United Kingdom,"['English', 'English']","['Non-Chronological', 'Miscellaneous Sports', 'Training Montage', 'Farcical / Slapstick Comedy', 'Non-Chronological', 'Miscellaneous Sports', 'Training Montage', 'Farcical / Slapstick Comedy']"
4,Heartbeeps#tab=summary,"['Comedy', 'Comedy']","['Universal Pictures', 'Universal Pictures']",United States,"['English', 'English']","['Robot', 'Romance', 'Fugitive / On the Run', 'Famously Bad', 'Robot', 'Romance', 'Fugitive / On the Run', 'Famously Bad']"
5,Danny-Collins#tab=summary,['Comedy'],"['Shivhans Pictures', 'Handwritten Films', 'Big Indie Pictures']",United States,['English'],"['Musicians', ""Rock 'n' Roll"", 'Inspired by a True Story']"
6,Rescue-Dawn-(2007)#tab=summary,['Action'],[],Luxembourg,['English'],"['Vietnam War', 'War', 'Rescue', 'Escape', 'Hallucinations', 'C.I.A.']"
7,Stan-and-Ollie-(2018)#tab=summary,['Drama'],"['BBC Films', 'Fable House Productions', 'Entertainment One']",United Kingdom,['English'],"['Biography', '1950s', 'On Tour', 'Set in United Kingdom', 'Theater', 'Vaudeville']"
8,Black-and-White-(2000)#tab=summary,"['Drama', 'Drama']","['Palm Pictures, LLC', 'Palm Pictures, LLC']",United States,"['English', 'English']",[]
9,Io-sono-l-amore#tab=summary,['Drama'],[],Italy,['Italian'],"['Food', 'LGBTQ+', 'Dysfunctional Family', 'Mid-Life Crisis']"
10,King-Kong-Lives#tab=summary,"['Adventure', 'Adventure']",[],United States,"['English', 'English']","['Animals Gone Bad', 'Animals Gone Bad']"
11,Jay-and-Silent-Bob-Reboot#tab=summary,['Comedy'],"['View Askew', 'Saban Films', 'Destro Films', 'Mewesings', 'SModcast Pictures', 'Hideout Pictures', 'Miramax Films', 'Intercut Capital']",United States,['English'],[]
12,Brian-Banks-(2019)#tab=summary,"['Drama', 'Drama']","['Bleecker Street ', 'Shivhans Pictures', 'Gidden Media', 'Memphis Mountaintop Media', 'New Vision', 'Liquid Soul', 'Bleecker Street ', 'Shivhans Pictures', 'Gidden Media', 'Memphis Mountaintop Media', 'New Vision', 'Liquid Soul']",United States,"['English', 'English']","['Football', 'High School Sports', 'Wrongfully Convicted', 'Sex Crimes', 'African Americans', 'Inspirational Sports', 'Football', 'High School Sports', 'Wrongfully Convicted', 'Sex Crimes', 'African Americans', 'Inspirational Sports']"
13,On-the-Line#tab=summary,"['Romantic Comedy', 'Romantic Comedy']",[],United States,"['English', 'English']","['Romance', 'Romance']"
14,Gotti-(2018)#tab=summary,['Drama'],"['Emmett Furla Oasis Films', 'Michael Fiore Films', 'Highland Film Group']",United States,['English'],"['Organized Crime', 'Betrayal', 'Redemption', '1980s', '1990s', '2000s', 'Set in New York City', 'Development Hell', 'Delayed Release', 'Biography']"
15,Jeff-Who-Lives-at-Home#tab=summary,"['Comedy', 'Comedy']","['Indian Paintbrush', 'Mr. Mudd', 'Right of Way Films', 'Indian Paintbrush', 'Mr. Mudd', 'Right of Way Films']",United States,"['English', 'English']","['Delayed Adulthood', 'Dysfunctional Family', 'Narcotics', 'Relationships Gone Wrong', 'Infidelity', 'Fate or Destiny', 'Intertitle', 'Death of a Spouse or Fiancée / Fiancé', 'Widow/Widower', 'Young Child Dealing with the Death of a Parent', 'Improvised', 'LGBTQ+', 'Romance', 'Delayed Adulthood', 'Dysfunctional Family', 'Narcotics', 'Relationships Gone Wrong', 'Infidelity', 'Fate or Destiny', 'Intertitle', 'Death of a Spouse or Fiancée / Fiancé', 'Widow/Widower', 'Young Child Dealing with the Death of a Parent', 'Improvised', 'LGBTQ+', 'Romance']"
16,Life-Itself-(2018)#tab=summary,"['Drama', 'Drama']","['FilmNation Entertainment', 'Nostromo Pictures', 'Temple Hill Entertainment', 'FilmNation Entertainment', 'Nostromo Pictures', 'Temple Hill Entertainment']",Spain,"['English', 'English']","['Romance', 'Set in New York', 'College', 'Car Accident', 'Dysfunctional Family', 'Non-Chronological', 'Ensemble', 'Romantic Drama', 'Romance', 'Set in New York', 'College', 'Car Accident', 'Dysfunctional Family', 'Non-Chronological', 'Ensemble', 'Romantic Drama']"
17,Denial#tab=summary,['Drama'],"['Participant Media', 'BBC Films', 'Bleecker Street ', 'Krasnoff/Foster Entertainment', 'Shoebox Films']",United Kingdom,['English'],"['Holocaust', 'Historian', 'Courtroom Drama', '1990s']"
18,Man-Who-Knew-Infinity-The#tab=summary,['Drama'],"['Edward R. Pressman', 'Animus Films', 'Cayenne Pepper Productions', 'Xeitgeist Entertainment Group', 'Marcys Holdings']",India,['English'],"['Biography', 'Mathematics', 'Academics', 'Set in India', '1910s', 'World War I', 'College', 'Medical and Hospitals', 'Poverty', 'Culture Clash']"
